Ticker,Company,Sector,Industry
AFL,Aflac Inc,Financial,Insurance - Life
AIG,American International Group Inc,Financial,Insurance - Diversified
AIZ,Assurant Inc,Financial,Insurance - Property & Casualty
AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies
ALL,Allstate Corp,Financial,Insurance - Property & Casualty
ALLE,Allegion plc,Industrials,Security & Protection Services
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers
AMD,Advanced Micro Devices Inc,Technology,Semiconductors
AME,Ametek Inc,Industrials,Specialty Industrial Machinery
AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General
AMP,Ameriprise Financial Inc,Financial,Asset Management
AMT,American Tower Corp,Real Estate,REIT - Specialty
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail
ANET,Arista Networks Inc,Technology,Computer Hardware
AON,Aon plc,Financial,Insurance Brokers
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery
APA,APA Corporation,Energy,Oil & Gas E&P
APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals
APH,Amphenol Corp,Technology,Electronic Components
APO,Apollo Global Management Inc,Financial,Asset Management
APP,Applovin Corp,Communication Services,Advertising Agencies
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office
ARES,Ares Management Corp,Financial,Asset Management
ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas
AVB,Avalonbay Communities Inc,Real Estate,REIT - Residential
AVGO,Broadcom Inc,Technology,Semiconductors
AVY,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers
AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense
AXP,American Express Co,Financial,Credit Services
AZO,Autozone Inc,Consumer Cyclical,Auto Parts
BA,Boeing Co,Industrials,Aerospace & Defense
BAC,Bank Of America Corp,Financial,Banks - Diversified
BALL,Ball Corp,Consumer Cyclical,Packaging & Containers
BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies
BBY,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail
BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies
BEN,"Franklin Resources, Inc",Financial,Asset Management
BF-B,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries
BG,Bunge Global SA,Consumer Defensive,Farm Products
BIIB,Biogen Inc,Healthcare,Drug Manufacturers - General
BK,Bank Of New York Mellon Corp,Financial,Banks - Diversified
BKNG,Booking Holdings Inc,Consumer Cyclical,Travel Services
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment
BLK,Blackrock Inc,Financial,Asset Management
BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General
BR,"Broadridge Financial Solutions, Inc",Technology,Information Technology Services
BRK-B,Berkshire Hathaway Inc,Financial,Insurance - Diversified
BRO,"Brown & Brown, Inc",Financial,Insurance Brokers
BSX,Boston Scientific Corp,Healthcare,Medical Devices
BX,Blackstone Inc,Financial,Asset Management
BXP,BXP Inc,Real Estate,REIT - Office
C,Citigroup Inc,Financial,Banks - Diversified
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods
CAH,"Cardinal Health, Inc",Healthcare,Medical Distribution
CARR,Carrier Global Corp,Industrials,Building Products & Equipment
CAT,Caterpillar Inc,Industrials,Farm & Heavy Construction Machinery
CB,Chubb Limited,Financial,Insurance - Property & Casualty
CBOE,Cboe Global Markets Inc,Financial,Financial Data & Stock Exchanges
CBRE,CBRE Group Inc,Real Estate,Real Estate Services
CCI,Crown Castle Inc,Real Estate,REIT - Specialty
CCL,Carnival Corp,Consumer Cyclical,Travel Services
CDNS,"Cadence Design Systems, Inc",Technology,Software - Application
CDW,CDW Corp,Technology,Information Technology Services
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers
CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs
CFG,Citizens Financial Group Inc,Financial,Banks - Regional
CHD,"Church & Dwight Co., Inc",Consumer Defensive,Household & Personal Products
CHRW,"C.H. Robinson Worldwide, Inc",Industrials,Integrated Freight & Logistics
CHTR,Charter Communications Inc,Communication Services,Telecom Services
CI,Cigna Group,Healthcare,Healthcare Plans
CIEN,CIENA Corp,Technology,Communication Equipment
CINF,Cincinnati Financial Corp,Financial,Insurance - Property & Casualty
CL,Colgate-Palmolive Co,Consumer Defensive,Household & Personal Products
CLX,Clorox Co,Consumer Defensive,Household & Personal Products
CMCSA,Comcast Corp,Communication Services,Telecom Services
CME,CME Group Inc,Financial,Financial Data & Stock Exchanges
CMG,Chipotle Mexican Grill,Consumer Cyclical,Restaurants
CMI,Cummins Inc,Industrials,Specialty Industrial Machinery
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric
CNC,Centene Corp,Healthcare,Healthcare Plans
CNP,Centerpoint Energy Inc,Utilities,Utilities - Regulated Electric
COF,Capital One Financial Corp,Financial,Credit Services
COIN,Coinbase Global Inc,Financial,Financial Data & Stock Exchanges
COO,"Cooper Companies, Inc",Healthcare,Medical Instruments & Supplies
COP,Conoco Phillips,Energy,Oil & Gas E&P
COR,Cencora Inc,Healthcare,Medical Distribution
COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores
CPAY,Corpay Inc,Technology,Software - Infrastructure
CPB,Campbells Co,Consumer Defensive,Packaged Foods
CPRT,"Copart, Inc",Industrials,Specialty Business Services
CPT,Camden Property Trust,Real Estate,REIT - Residential
CRH,CRH Plc,Basic Materials,Building Materials
CRL,Charles River Laboratories International Inc,Healthcare,Diagnostics & Research
CRM,Salesforce Inc,Technology,Software - Application
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure
CSCO,"Cisco Systems, Inc",Technology,Communication Equipment
CSGP,"Costar Group, Inc",Real Estate,Real Estate Services
CSX,CSX Corp,Industrials,Railroads
CTAS,Cintas Corporation,Industrials,Specialty Business Services
CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P
CTSH,Cognizant Technology Solutions Corp,Technology,Information Technology Services
CTVA,Corteva Inc,Basic Materials,Agricultural Inputs
CVNA,Carvana Co,Consumer Cyclical,Auto & Truck Dealerships
CVS,CVS Health Corp,Healthcare,Healthcare Plans
CVX,Chevron Corp,Energy,Oil & Gas Integrated
D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric
DAL,"Delta Air Lines, Inc",Industrials,Airlines
DASH,DoorDash Inc,Consumer Cyclical,Internet Retail
DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals
DDOG,Datadog Inc,Technology,Software - Application
DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery
DECK,Deckers Outdoor Corp,Consumer Cyclical,Footwear & Accessories
DELL,Dell Technologies Inc,Technology,Computer Hardware
DG,Dollar General Corp,Consumer Defensive,Discount Stores
DGX,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research
DHI,D.R. Horton Inc,Consumer Cyclical,Residential Construction
DHR,Danaher Corp,Healthcare,Diagnostics & Research
DIS,Walt Disney Co,Communication Services,Entertainment
DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty
DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores
